brand,price,start_time,start_day,end_day,end_time,trip_time,take_place,destination,trip_to,id
Vietnam Airlines,1346850,06:40,22-05-2024,22-05-2024,08:00,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,29
Vietnam Airlines,12252490,23:00,22-05-2024,23-05-2024,01:20,2h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,30
Vietnam Airlines,12252490,22:00,22-05-2024,23-05-2024,00:10,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,31
Vietnam Airlines,12252490,21:00,22-05-2024,22-05-2024,23:15,2h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,32
Vietnam Airlines,13109652,20:00,22-05-2024,22-05-2024,22:15,2h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,33
Vietnam Airlines,13709090,23:00,22-05-2024,23-05-2024,01:20,2h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,34
Vietnam Airlines,13709090,22:00,22-05-2024,23-05-2024,00:10,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,35
Vietnam Airlines,13709090,21:00,22-05-2024,22-05-2024,23:15,2h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,36
Vietnam Airlines,14573555,20:00,22-05-2024,22-05-2024,22:15,2h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,37
Vietnam Airlines,14573555,19:30,22-05-2024,22-05-2024,21:40,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,38
Vietnam Airlines,14573555,17:30,22-05-2024,22-05-2024,19:35,2h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,39
Vietnam Airlines,14573555,17:00,22-05-2024,22-05-2024,19:15,2h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,40
Vietnam Airlines,14573555,16:40,22-05-2024,22-05-2024,19:10,2h 30m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,41
Vietnam Airlines,14573555,14:50,22-05-2024,22-05-2024,17:35,2h 45m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,42
Vietnam Airlines,16629592,05:00,22-05-2024,22-05-2024,07:15,2h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,43
VietJet Air,951786,06:40,23-05-2024,23-05-2024,07:50,1h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,44
VietJet Air,1037322,14:25,23-05-2024,23-05-2024,15:25,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,45
VietJet Air,1058278,14:00,23-05-2024,23-05-2024,15:00,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,46
Bamboo Airways,1129550,09:35,23-05-2024,23-05-2024,10:45,1h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,47
Vietnam Airlines,1236150,14:50,23-05-2024,23-05-2024,16:05,1h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,48
Vietnam Airlines,1236150,06:40,23-05-2024,23-05-2024,08:00,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,49
Vietnam Airlines,1346850,14:10,23-05-2024,23-05-2024,15:25,1h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,50
Vietnam Airlines,1346850,20:05,23-05-2024,23-05-2024,21:20,1h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,51
Vietnam Airlines,13035048,06:00,23-05-2024,23-05-2024,08:15,2h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,52
Vietnam Airlines,13035048,05:00,23-05-2024,23-05-2024,07:15,2h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,53
Vietnam Airlines,13634748,23:00,23-05-2024,24-05-2024,01:20,2h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,54
Vietnam Airlines,13634748,22:00,23-05-2024,24-05-2024,00:10,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,55
Vietnam Airlines,13634748,20:00,23-05-2024,23-05-2024,22:15,2h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,56
Vietnam Airlines,19677650,07:20,23-05-2024,23-05-2024,09:00,1h 40m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đồng Hới (VDH)
Sân bay Đồng Hới",Nha Trang,57
Vietnam Airlines,1346850,22:00,24-05-2024,24-05-2024,23:15,1h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,58
Bamboo Airways,1572350,09:35,24-05-2024,24-05-2024,10:45,1h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,59
Vietnam Airlines,1656400,20:05,24-05-2024,24-05-2024,21:20,1h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,60
VietJet Air,1678842,14:25,24-05-2024,24-05-2024,15:25,1h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,61
Vietnam Airlines,1744550,15:45,24-05-2024,24-05-2024,17:00,1h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,62
Vietnam Airlines,1744550,06:40,24-05-2024,24-05-2024,08:00,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,63
Vietnam Airlines,1833725,18:30,24-05-2024,24-05-2024,19:45,1h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,64
Vietnam Airlines,1889075,14:10,24-05-2024,24-05-2024,15:25,1h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,65
Vietnam Airlines,1952625,12:45,24-05-2024,24-05-2024,13:50,1h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Nha Trang (CXR)
Sân bay Cam Ranh",Nha Trang,66
VietJet Air,2955030,05:30,24-05-2024,24-05-2024,07:30,2h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hải Phòng (HPH)
Sân bay quốc tế Cát Bi",Nha Trang,67
VietJet Air,2955030,20:20,24-05-2024,24-05-2024,22:20,2h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hải Phòng (HPH)
Sân bay quốc tế Cát Bi",Nha Trang,68
VietJet Air,2955030,16:35,24-05-2024,24-05-2024,18:35,2h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hải Phòng (HPH)
Sân bay quốc tế Cát Bi",Nha Trang,69
VietJet Air,3065730,14:10,24-05-2024,24-05-2024,16:10,2h 0m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hải Phòng (HPH)
Sân bay quốc tế Cát Bi",Nha Trang,70
Vietnam Airlines,12178148,22:00,24-05-2024,25-05-2024,00:10,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,71
Vietnam Airlines,12178148,21:00,24-05-2024,24-05-2024,23:15,2h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,72
Vietnam Airlines,12178148,20:45,24-05-2024,24-05-2024,22:50,2h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,73
Vietnam Airlines,13035048,20:00,24-05-2024,24-05-2024,22:15,2h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,74
Vietnam Airlines,13035048,19:30,24-05-2024,24-05-2024,21:40,2h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,75
Vietnam Airlines,13035048,19:00,24-05-2024,24-05-2024,21:15,2h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,76
Vietnam Airlines,13035048,17:30,24-05-2024,24-05-2024,19:35,2h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,77
Vietnam Airlines,13035048,17:00,24-05-2024,24-05-2024,19:15,2h 15m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,78
Vietnam Airlines,13035048,16:40,24-05-2024,24-05-2024,19:10,2h 30m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Hà Nội (HAN)
Sân bay Nội Bài",Nha Trang,79
Bamboo Airways,1007575,22:25,20-05-2024,20-05-2024,23:50,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Nha Trang,80
Bamboo Airways,1306875,18:10,20-05-2024,20-05-2024,19:35,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Nha Trang,81
Vietnam Airlines,1388520,21:05,20-05-2024,20-05-2024,22:30,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Nha Trang,82
Vietnam Airlines,1388520,21:15,20-05-2024,20-05-2024,22:40,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Nha Trang,83
Vietravel Airlines,1394244,21:10,20-05-2024,20-05-2024,22:15,1h 5m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Nha Trang,84
Vietnam Airlines,1523150,20:10,20-05-2024,20-05-2024,21:35,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Nha Trang,85
Vietnam Airlines,1921875,16:00,20-05-2024,20-05-2024,17:25,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Nha Trang,86
VietJet Air,2489820,19:35,20-05-2024,20-05-2024,20:55,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Nha Trang,87
VietJet Air,2489820,19:45,20-05-2024,20-05-2024,21:05,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Nha Trang,88
Vietravel Airlines,925200,20:50,21-05-2024,21-05-2024,22:15,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Nha Trang,89
Vietravel Airlines,1023372,08:10,21-05-2024,21-05-2024,09:30,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Nha Trang,90
VietJet Air,1024692,20:30,21-05-2024,21-05-2024,21:50,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Nha Trang,91
VietJet Air,1024692,20:35,21-05-2024,21-05-2024,21:55,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Nha Trang,92
VietJet Air,1123726,19:15,21-05-2024,21-05-2024,20:35,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Nha Trang,93
VietJet Air,1254622,05:35,21-05-2024,21-05-2024,06:55,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Nha Trang,94
VietJet Air,1254622,15:40,21-05-2024,21-05-2024,17:00,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Nha Trang,95
VietJet Air,1254622,16:15,21-05-2024,21-05-2024,17:35,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Nha Trang,96
Bamboo Airways,1306875,09:40,21-05-2024,21-05-2024,11:05,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Nha Trang,97
Bamboo Airways,1306875,14:00,21-05-2024,21-05-2024,15:25,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Nha Trang,98
Vietnam Airlines,1388520,20:10,21-05-2024,21-05-2024,21:35,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Nha Trang,99
Vietnam Airlines,1388520,21:00,21-05-2024,21-05-2024,22:30,1h 30m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Nha Trang,100
VietJet Air,1396426,07:05,21-05-2024,21-05-2024,08:25,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Nha Trang,101
Vietnam Airlines,1523150,18:20,21-05-2024,21-05-2024,19:30,1h 10m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Nha Trang,102
Vietnam Airlines,1523150,15:20,21-05-2024,21-05-2024,16:45,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Nha Trang,103
Vietnam Airlines,1523150,16:00,21-05-2024,21-05-2024,17:35,1h 35m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Nha Trang,104
Vietnam Airlines,1656400,07:00,21-05-2024,21-05-2024,08:20,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Nha Trang,105
Vietnam Airlines,1789650,13:05,21-05-2024,21-05-2024,14:30,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Nha Trang,106
Vietnam Airlines,1789650,08:00,21-05-2024,21-05-2024,09:30,1h 30m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Nha Trang,107
Vietnam Airlines,1789650,10:30,21-05-2024,21-05-2024,12:00,1h 30m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Nha Trang,108
Vietnam Airlines,1789650,11:45,21-05-2024,21-05-2024,13:15,1h 30m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Nha Trang,109
VietJet Air,1810930,13:40,21-05-2024,21-05-2024,15:00,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Nha Trang,110
Vietnam Airlines,1921875,06:00,21-05-2024,21-05-2024,07:30,1h 30m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Nha Trang,111
Vietnam Airlines,1921875,08:55,21-05-2024,21-05-2024,10:30,1h 35m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Nha Trang,112
VietJet Air,2465410,19:45,21-05-2024,21-05-2024,21:05,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Nha Trang,113
Bamboo Airways,1007575,21:10,22-05-2024,22-05-2024,22:35,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Nha Trang,114
Vietravel Airlines,1023372,08:10,22-05-2024,22-05-2024,09:30,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Nha Trang,115
Vietravel Airlines,1023372,20:50,22-05-2024,22-05-2024,22:15,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Nha Trang,116
VietJet Air,1024692,20:35,22-05-2024,22-05-2024,21:55,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Nha Trang,117
VietJet Air,1123726,05:35,22-05-2024,22-05-2024,06:55,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Nha Trang,118
VietJet Air,1134852,20:30,22-05-2024,22-05-2024,21:50,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Nha Trang,119
Bamboo Airways,1196175,14:00,22-05-2024,22-05-2024,15:25,1h 25m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Nha Trang,120
VietJet Air,1254622,13:40,22-05-2024,22-05-2024,15:00,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Nha Trang,121
VietJet Air,1254622,15:40,22-05-2024,22-05-2024,17:00,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Nha Trang,122
VietJet Air,1254622,16:15,22-05-2024,22-05-2024,17:35,1h 20m,"TP HCM (SGN)
Sân bay Tân Sơn Nhất
Nhà ga 1","Đà Nẵng (DAD)
Sân bay Đà Nẵng",Nha Trang,123
